PRODUTOS ALERTADOS;PARECER;DATA RELACIONAMENTO PORTO;NOME LISTA VIGILANCIA;FLAG PEP;FLAG PARTICIPANTE;VALOR RENDA;VALOR RENDA FATURAMENTO;DESCRIÇÃO REVISÃO ANALISE;VALOR SCORE KYCREP;VALOR SCORE OPERACIONAL;VALOR SCORE PARTICIPANTE;VALOR SCORE PRODUTO;VALOR SCORE SOCIO;FLAG PROCESSO EXTERNO ABERTO;VALOR ENVOLVIDO;FLAG DOSSIÊ;UF
Capitalização;;2024-05-25 00:00:00.0;;false;false;;1.0;;130.0;850.0;;80.0;;false;75000.0;false;SP
Capitalização;;;;false;false;;;;130.0;850.0;;80.0;130.0;false;34500.0;false;SP
Capitalização;;2023-10-05 00:00:00.0;;false;false;;11250.0;;130.0;850.0;;80.0;130.0;false;50108.88877845;false;MG
Cartão;;2017-06-20 00:00:00.0;;false;true;;56963.0;;275.0;600.0;130.0;181.0;;false;339596.3900000001;false;RN
Automóvel Porto / Saúde;COMUNICAR;2023-10-19 00:00:00.0;;false;true;;8374.0;;100.0;800.0;100.0;155.0;;true;223246.63;false;SP
Cartão;;2020-05-14 00:00:00.0;;false;false;;27814.0;;70.0;800.0;;181.0;;false;121969.86;false;SP
Cartão / Consórcio;;;;false;false;;150000.0;;150.0;800.0;;100.0;;false;2300000.0;false;GO
Consórcio;NAO_COMUNICAR;2019-03-31 00:00:00.0;;false;false;;9218.0;;350.0;600.0;;100.0;;true;8715.589999999998;false;SP
Automóvel Porto;;2015-11-18 00:00:00.0;;false;false;;98777.0;;170.0;800.0;;80.0;;false;1317022.0;false;SP
Capitalização;;2016-07-19 00:00:00.0;;false;false;;18938.0;;120.0;850.0;;80.0;;false;139577.59744397;false;SP
Cartão / Consórcio;;;;false;false;;200000.0;;150.0;800.0;;100.0;;false;2300000.0;false;SC
Cartão / Consórcio;;;;false;false;;200000.0;;150.0;800.0;;100.0;;false;2300000.0;false;SC
Automóvel Porto;;2014-07-08 00:00:00.0;;false;false;;23515.0;;120.0;850.0;;80.0;;false;25237.36;false;GO
Automóvel Frota Porto;;2015-06-29 00:00:00.0;;false;true;;1010416.666666667;;130.0;850.0;130.0;65.0;80.0;false;57645.19;false;SP
Cartão;;2013-11-22 00:00:00.0;;false;true;;36388.79;;450.0;410.0;190.0;181.0;;false;97516.77000000002;false;SP
Capitalização;COMUNICAR;2024-05-12 00:00:00.0;;false;false;;13333.33333333333;;110.0;850.0;;80.0;100.0;false;360000.0;false;SP
Cartão;;2016-06-29 00:00:00.0;;false;true;;100000.0;;250.0;600.0;150.0;181.0;;false;663871.5800000001;false;SP
Cartão;;2016-03-30 00:00:00.0;;false;true;;11092.79;;250.0;600.0;80.0;181.0;;false;572700.0;false;SP
Capitalização;COMUNICAR;;;false;false;;12000.0;;100.0;850.0;;80.0;;false;300000.0;false;SP
Capitalização;NAO_COMUNICAR;;;false;false;;10000.0;;100.0;850.0;;80.0;;false;75000.0;false;SP
Capitalização;;2016-04-07 00:00:00.0;;false;false;;1.0;;100.0;850.0;;80.0;;false;100000.0;false;RJ
Capitalização;;2015-08-13 00:00:00.0;;false;false;;55668.0;;100.0;850.0;;80.0;;false;74637.30524072;false;SP
Capitalização;;2013-01-23 00:00:00.0;;false;false;;100000.0;;100.0;850.0;;80.0;;false;88418.65445576;false;SP
Automóvel Porto;;2015-12-28 00:00:00.0;;false;false;;;;640.0;300.0;;80.0;355.0;false;447642.0;true;MG
PortoPar;;2018-09-14 00:00:00.0;;false;true;;10500.0;;130.0;800.0;130.0;85.0;;false;234834.02;false;SC
PortoPar;;2016-06-29 00:00:00.0;;false;true;;12694.0;;130.0;800.0;130.0;85.0;;false;61000.0;true;MG
Cartão;;2016-02-29 00:00:00.0;;false;true;;88073.65;;220.0;610.0;150.0;181.0;;false;102960.23;false;SP
Automóvel Porto / Cartão;;2018-02-28 00:00:00.0;;false;false;;100000.0;;150.0;600.0;;261.0;;false;92356.20666666667;false;CE
Cartão;COMUNICAR;2016-05-11 00:00:00.0;;false;true;;100000.0;;220.0;610.0;120.0;181.0;;true;75045.98;false;SP
Cartão;;2016-05-16 00:00:00.0;;false;true;;40355.0;;230.0;600.0;230.0;181.0;;false;79300.0;false;SP
Capitalização;;2022-11-04 00:00:00.0;;false;false;;562500.0;;81.0;850.0;;80.0;50.0;false;315174.49970961;true;SP
Capitalização;;2018-12-01 00:00:00.0;;false;false;;46026.37;;80.0;850.0;;80.0;;false;345162.55771743;false;MG
Capitalização;;;;false;false;;2500.0;;80.0;850.0;;80.0;;false;39000.0;false;SP
Capitalização;COMUNICAR;2013-02-12 00:00:00.0;;false;false;;1800.0;;80.0;850.0;;80.0;;true;45000.0;false;SP
PortoPar;;2017-01-05 00:00:00.0;;false;false;;17702.89;;120.0;800.0;;85.0;;false;12593.21;false;SP
PortoPar;;2012-12-01 00:00:00.0;;false;false;;18040.0;;120.0;800.0;;85.0;;false;700000.0;false;SP
PortoPar;;2015-09-21 00:00:00.0;;false;false;;5834.0;;120.0;800.0;;85.0;;false;620000.0;false;RJ
Saúde;COMUNICAR;2022-03-03 00:00:00.0;;false;false;;11250.0;;430.0;500.0;;75.0;430.0;false;9137.85;false;
CDC;NAO_COMUNICAR;2016-05-03 00:00:00.0;;false;true;;10995.0;;150.0;800.0;150.0;54.0;;false;11228.08057;false;RJ
