PRODUTOS ALERTADOS;PARECER;DATA RELACIONAMENTO;NOME LISTA VIGILANCIA;FLAG PEP;FLAG PARTICIPANTE;VALOR RENDA;VALOR RENDA FATURAMENTO;DESCRIÇÃO REVISÃO ANALISE;VALOR SCORE KYCREP;VALOR SCORE OPERACIONAL;VALOR SCORE PARTICIPANTE;VALOR SCORE PRODUTO;VALOR SCORE SOCIO;FLAG PROCESSO EXTERNO ABERTO;VALOR ENVOLVIDO;FLAG DOSSIÊ;UF
Cartão;COMUNICAR;2016-05-20 00:00:00.0;;false;false;;75444.0;;350.0;400.0;;181.0;;false;72126.98;false;MT
Cartão;NAO_COMUNICAR;2019-10-28 00:00:00.0;;false;false;;11250.0;;150.0;600.0;;181.0;150.0;false;298824.13;false;SP
Consórcio;NAO_COMUNICAR;2021-05-14 00:00:00.0;;false;false;;38155.0;;230.0;600.0;;100.0;;false;145406.5999999999;true;MT
PortoPar / Saúde;NAO_COMUNICAR;2024-02-20 00:00:00.0;;false;true;;53333.33;;170.0;600.0;50.0;160.0;170.0;false;5878224.96;false;SP
Automóvel Porto;NAO_COMUNICAR;2014-07-23 00:00:00.0;;false;false;;100000.0;;345.0;500.0;;80.0;;false;616647.0;false;CE
Automóvel Porto;NAO_COMUNICAR;2012-11-30 00:00:00.0;;false;false;;24970.0;;540.0;300.0;;80.0;;false;208085.0;false;PE
PortoPar;NAO_COMUNICAR;2012-11-23 00:00:00.0;;false;false;;3800.0;;30.0;800.0;;85.0;;false;6968.43;false;SP
Cartão;COMUNICAR;2023-10-19 00:00:00.0;;false;true;;22471.0;;120.0;610.0;120.0;181.0;;false;130974.31;false;RS
Cartão;NAO_COMUNICAR;2016-10-10 00:00:00.0;;false;false;;4725000.0;;130.0;600.0;;181.0;130.0;false;706558.89;false;SP
Cartão;NAO_COMUNICAR;2015-12-16 00:00:00.0;;false;true;;100000.0;;326.0;400.0;326.0;181.0;;false;55402.0;false;RJ
Cartão;NAO_COMUNICAR;2012-12-01 00:00:00.0;;false;false;;96683.0;;320.0;400.0;;181.0;;false;79436.28;false;SP
Saúde;NAO_COMUNICAR;2013-01-23 00:00:00.0;;false;true;;11292.0;;325.0;500.0;255.0;75.0;;false;15000.0;false;SP
Cartão;NAO_COMUNICAR;2014-07-09 00:00:00.0;;false;true;;100000.0;;270.0;1000.0;240.0;181.0;;false;405497.38;false;SE
Capitalização;NAO_COMUNICAR;2024-08-24 00:00:00.0;;false;false;;9166.666666666666;;225.0;850.0;;80.0;225.0;false;1662.5;false;RJ
Capitalização;NAO_COMUNICAR;2024-04-23 00:00:00.0;;false;false;;9166.666666666666;;170.0;850.0;;80.0;170.0;false;141511.0;false;SP
Saúde;NAO_COMUNICAR;2022-06-08 00:00:00.0;;false;false;;5833.333333333333;;441.0;500.0;;75.0;400.0;false;4938.47;false;SP
Capitalização;NAO_COMUNICAR;2021-07-15 00:00:00.0;;false;false;;;;80.0;850.0;;80.0;;false;125000.0;false;SP
Cartão;NAO_COMUNICAR;2022-11-22 00:00:00.0;;false;true;;100000.0;;220.0;600.0;171.0;181.0;;false;150000.0;false;CE
Cartão;NAO_COMUNICAR;2012-12-05 00:00:00.0;;false;true;;100000.0;;200.0;600.0;101.0;181.0;;false;423507.61;false;SP
Locadora;NAO_COMUNICAR;2016-04-04 00:00:00.0;;false;false;;10485.0;;220.0;600.0;;140.0;;false;134000.0;false;SP
Capitalização;NAO_COMUNICAR;2022-10-12 00:00:00.0;;false;false;;9166.666666666666;;30.0;850.0;;80.0;30.0;false;88201.92;false;SP
Capitalização;NAO_COMUNICAR;2024-08-22 00:00:00.0;;false;false;;13333.33333333333;;10.0;850.0;;80.0;0.0;false;80000.0;false;MT
Cartão;NAO_COMUNICAR;2013-12-18 00:00:00.0;;false;true;;100000.0;;150.0;600.0;120.0;181.0;;false;402224.6200000001;false;SP
Cartão;NAO_COMUNICAR;2015-02-06 00:00:00.0;;false;false;;100000.0;;150.0;600.0;;181.0;;false;437382.6;false;SP
Cartão;NAO_COMUNICAR;2016-10-04 00:00:00.0;;false;false;;100000.0;;640.0;600.0;;181.0;;false;1091082.3;false;RJ
Cartão;COMUNICAR;2016-07-21 00:00:00.0;;false;true;;100000.0;;350.0;600.0;101.0;181.0;;false;921216.0900000001;false;SP
Cartão;NAO_COMUNICAR;2016-05-30 00:00:00.0;;false;true;;49142.0;;330.0;600.0;100.0;181.0;;false;482869.91;false;SP
Cartão;COMUNICAR;2023-10-19 00:00:00.0;;false;true;;30503.0;;320.0;600.0;130.0;181.0;;false;574804.93;false;SP
Cartão;NAO_COMUNICAR;2012-11-17 00:00:00.0;;false;false;;100000.0;;300.0;600.0;;181.0;;false;1315865.34;false;SP
Cartão;NAO_COMUNICAR;2016-04-19 00:00:00.0;;false;true;;3500.0;;230.0;600.0;131.0;181.0;;false;687205.3099999999;false;SP
Cartão;NAO_COMUNICAR;2015-09-29 00:00:00.0;;false;true;;100000.0;;400.0;2200.0;130.0;181.0;;false;3614908.31;false;SP
PortoPar;NAO_COMUNICAR;2019-05-08 00:00:00.0;;false;false;;6752.0;;275.0;1600.0;;85.0;;false;180000.0;false;SP
Cartão;NAO_COMUNICAR;2016-11-07 00:00:00.0;;false;true;;100000.0;;450.0;1210.0;201.0;181.0;;false;1384126.88;true;SC
Automóvel Porto / Locadora;NAO_COMUNICAR;2022-12-01 00:00:00.0;;false;false;;;;330.0;1250.0;;220.0;130.0;false;174904.9399999999;true;SP
Cartão;NAO_COMUNICAR;2019-06-07 00:00:00.0;;false;true;;100000.0;;400.0;1210.0;150.0;181.0;;false;1128553.56;false;PR
Automóvel Porto / RE - Residencial / Cartão;NAO_COMUNICAR;2016-03-16 00:00:00.0;;false;true;;100000.0;;350.0;1100.0;130.0;341.0;;false;1737676.785;false;SP
Cartão;COMUNICAR;2012-12-01 00:00:00.0;;false;true;;93967.0;;400.0;1200.0;130.0;181.0;;false;409273.38;false;DF
PortoPar;NAO_COMUNICAR;2016-04-08 00:00:00.0;;false;false;;4343.0;;80.0;1600.0;;85.0;;false;225446.12;true;SP
Cartão;NAO_COMUNICAR;2016-08-12 00:00:00.0;;false;false;;100000.0;;150.0;1400.0;;181.0;;false;674736.26;false;SP
PortoPar;NAO_COMUNICAR;2015-02-18 00:00:00.0;;false;false;;809.0;;30.0;1600.0;;85.0;;false;237143.52;false;DF
Capitalização;NAO_COMUNICAR;2015-10-13 00:00:00.0;;false;false;;694.0;;80.0;1500.0;;80.0;;false;360000.0;false;SP
Cartão / Consórcio;NAO_COMUNICAR;2015-01-30 00:00:00.0;;false;true;;7216.0;;130.0;1400.0;130.0;100.0;;false;2107376.25;false;MG
Automóvel Porto / RE - Residencial / Cartão;NAO_COMUNICAR;2018-08-28 00:00:00.0;;false;true;;100000.0;;420.0;810.0;191.0;341.0;;false;183638.5891666666;false;PB
Cartão;NAO_COMUNICAR;2015-09-08 00:00:00.0;;false;true;;25362.0;;150.0;1200.0;150.0;181.0;;false;401414.95;false;SP
Cartão;COMUNICAR;2016-03-04 00:00:00.0;;false;true;;44525.0;;230.0;1100.0;101.0;181.0;;false;822430.4099999999;false;SP
Cartão;NAO_COMUNICAR;2016-12-14 00:00:00.0;;false;true;;35176.0;;280.0;1010.0;130.0;181.0;;false;339704.48;false;SP
Locadora;NAO_COMUNICAR;2019-01-29 00:00:00.0;;false;false;;19572.0;;120.0;1200.0;;140.0;;false;570410.0;false;SP
Locadora;NAO_COMUNICAR;2013-01-23 00:00:00.0;;false;false;;20702.0;;120.0;1200.0;;140.0;;false;723674.0;false;SP
